feature_set,feature,coefficient
Set1_control,age,-0.3335
Set1_control,sex,0.5106
Set1_control,education_years,-1.2544
Set1_control,mmse,-3.764
Set1_control,ses,-1.1112
Set5_+MRI,age,-0.581
Set5_+MRI,sex,1.0379
Set5_+MRI,education_years,-1.3881
Set5_+MRI,mmse,-3.7579
Set5_+MRI,ses,-1.361
Set5_+MRI,etiv,-2.8503
Set5_+MRI,nwbv,-0.6691
Set5_+MRI,asf,-1.8755
Set4_+prev_mmse_delta,age,-0.3774
Set4_+prev_mmse_delta,sex,0.4618
Set4_+prev_mmse_delta,education_years,-1.1929
Set4_+prev_mmse_delta,mmse,-3.4793
Set4_+prev_mmse_delta,ses,-1.0884
Set4_+prev_mmse_delta,prev_mmse,-1.4174
Set4_+prev_mmse_delta,mmse_delta,0.0199
