feature_set,feature,experiment
Set1_control,age,A
Set1_control,sex,A
Set1_control,education_years,A
Set1_control,mmse,A
Set1_control,ses,A
Set2_+visit_count,age,A
Set2_+visit_count,sex,A
Set2_+visit_count,education_years,A
Set2_+visit_count,mmse,A
Set2_+visit_count,ses,A
Set2_+visit_count,visit_count,A
Set3_+time_since_baseline,age,A
Set3_+time_since_baseline,sex,A
Set3_+time_since_baseline,education_years,A
Set3_+time_since_baseline,mmse,A
Set3_+time_since_baseline,ses,A
Set3_+time_since_baseline,mr_delay,A
Set4_+prev_mmse_delta,age,A
Set4_+prev_mmse_delta,sex,A
Set4_+prev_mmse_delta,education_years,A
Set4_+prev_mmse_delta,mmse,A
Set4_+prev_mmse_delta,ses,A
Set4_+prev_mmse_delta,prev_mmse,A
Set4_+prev_mmse_delta,mmse_delta,A
Set5_+MRI,age,B
Set5_+MRI,sex,B
Set5_+MRI,education_years,B
Set5_+MRI,mmse,B
Set5_+MRI,ses,B
Set5_+MRI,etiv,B
Set5_+MRI,nwbv,B
Set5_+MRI,asf,B
