probability_range,n,actual_positive,actual_negative,observed_positive_rate,mean_predicted_probability
< 0.10,2,0,2,0.0,0.09692720741433668
0.10-0.19,12,4,8,0.3333333333333333,0.13079548889762604
0.20-0.29,4,0,4,0.0,0.230480690203511
0.30-0.39,1,0,1,0.0,0.3412160366319862
0.40-0.49,2,1,1,0.5,0.43852708466823964
0.50-0.59,0,0,0,,
0.60-0.69,1,1,0,1.0,0.6621381211994396
0.70-0.79,2,1,1,0.5,0.7666348201557704
0.80-0.89,3,3,0,1.0,0.8619441441660104
0.90-0.94,11,10,1,0.9090909090909091,0.9242954918832975
0.95-0.99,0,0,0,,
>= 0.99,0,0,0,,
