probability_range,n,actual_positive,actual_negative,observed_positive_rate,mean_predicted_probability
< 0.10,11,3,8,0.2727272727272727,0.06296864090194496
0.10-0.19,4,1,3,0.25,0.1539703941107754
0.20-0.29,3,0,3,0.0,0.2403593722414469
0.30-0.39,2,1,1,0.5,0.36992827049989974
0.40-0.49,1,0,1,0.0,0.4519278495374366
0.50-0.59,0,0,0,,
0.60-0.69,1,1,0,1.0,0.6117004286933675
0.70-0.79,2,1,1,0.5,0.7164605712098995
0.80-0.89,3,3,0,1.0,0.8492193498153174
0.90-0.94,1,0,1,0.0,0.938986954479007
0.95-0.99,3,3,0,1.0,0.9641840791793496
>= 0.99,7,7,0,1.0,0.9981808778379296
