threshold,sensitivity,specificity,balanced_accuracy,youden_j,ppv,npv,f1,accuracy,tp,fp,tn,fn
0.1,1.0,0.2037037037037037,0.6018518518518519,0.20370370370370372,0.5742574257425742,1.0,0.7295597484276729,0.6160714285714286,58,43,11,0
0.11,1.0,0.2037037037037037,0.6018518518518519,0.20370370370370372,0.5742574257425742,1.0,0.7295597484276729,0.6160714285714286,58,43,11,0
0.12,1.0,0.25925925925925924,0.6296296296296297,0.2592592592592593,0.5918367346938775,1.0,0.7435897435897436,0.6428571428571429,58,40,14,0
0.13,1.0,0.2962962962962963,0.6481481481481481,0.2962962962962963,0.6041666666666666,1.0,0.7532467532467533,0.6607142857142857,58,38,16,0
0.14,1.0,0.3148148148148148,0.6574074074074074,0.3148148148148149,0.6105263157894737,1.0,0.7581699346405228,0.6696428571428571,58,37,17,0
0.15,1.0,0.35185185185185186,0.6759259259259259,0.35185185185185186,0.6236559139784946,1.0,0.7682119205298014,0.6875,58,35,19,0
0.16,1.0,0.35185185185185186,0.6759259259259259,0.35185185185185186,0.6236559139784946,1.0,0.7682119205298014,0.6875,58,35,19,0
0.17,1.0,0.37037037037037035,0.6851851851851851,0.37037037037037024,0.6304347826086957,1.0,0.7733333333333333,0.6964285714285714,58,34,20,0
0.18,0.9827586206896551,0.3888888888888889,0.685823754789272,0.3716475095785441,0.6333333333333333,0.9545454545454546,0.7702702702702703,0.6964285714285714,57,33,21,1
0.19,0.9827586206896551,0.4074074074074074,0.6950830140485312,0.39016602809706247,0.6404494382022472,0.9565217391304348,0.7755102040816326,0.7053571428571429,57,32,22,1
0.2,0.9827586206896551,0.4444444444444444,0.7136015325670497,0.42720306513409945,0.6551724137931034,0.96,0.7862068965517242,0.7232142857142857,57,30,24,1
0.21,0.9655172413793104,0.4444444444444444,0.7049808429118773,0.4099616858237547,0.6511627906976745,0.9230769230769231,0.7777777777777778,0.7142857142857143,56,30,24,2
0.22,0.9655172413793104,0.48148148148148145,0.723499361430396,0.4469987228607919,0.6666666666666666,0.9285714285714286,0.7887323943661971,0.7321428571428571,56,28,26,2
0.23,0.9482758620689655,0.5,0.7241379310344828,0.4482758620689655,0.6707317073170732,0.9,0.7857142857142857,0.7321428571428571,55,27,27,3
0.24,0.9482758620689655,0.5185185185185185,0.733397190293742,0.4667943805874839,0.6790123456790124,0.9032258064516129,0.7913669064748201,0.7410714285714286,55,26,28,3
0.25,0.9482758620689655,0.5185185185185185,0.733397190293742,0.4667943805874839,0.6790123456790124,0.9032258064516129,0.7913669064748201,0.7410714285714286,55,26,28,3
0.26,0.9482758620689655,0.5370370370370371,0.7426564495530013,0.4853128991060025,0.6875,0.90625,0.7971014492753623,0.75,55,25,29,3
0.27,0.9482758620689655,0.5555555555555556,0.7519157088122606,0.5038314176245211,0.6962025316455697,0.9090909090909091,0.8029197080291971,0.7589285714285714,55,24,30,3
0.28,0.9482758620689655,0.5925925925925926,0.770434227330779,0.5408684546615581,0.7142857142857143,0.9142857142857143,0.8148148148148148,0.7767857142857143,55,22,32,3
0.29,0.9310344827586207,0.5925925925925926,0.7618135376756066,0.5236270753512131,0.7105263157894737,0.8888888888888888,0.8059701492537313,0.7678571428571429,54,22,32,4
0.3,0.8793103448275862,0.5925925925925926,0.7359514687100894,0.47190293742017886,0.6986301369863014,0.8205128205128205,0.7786259541984732,0.7410714285714286,51,22,32,7
0.31,0.8793103448275862,0.5925925925925926,0.7359514687100894,0.47190293742017886,0.6986301369863014,0.8205128205128205,0.7786259541984732,0.7410714285714286,51,22,32,7
0.32,0.8793103448275862,0.6111111111111112,0.7452107279693487,0.49042145593869746,0.7083333333333334,0.825,0.7846153846153846,0.75,51,21,33,7
0.33,0.8620689655172413,0.6296296296296297,0.7458492975734354,0.49169859514687086,0.7142857142857143,0.8095238095238095,0.78125,0.75,50,20,34,8
0.34,0.8448275862068966,0.6481481481481481,0.7464878671775224,0.4929757343550447,0.7205882352941176,0.7954545454545454,0.7777777777777778,0.75,49,19,35,9
0.35,0.8448275862068966,0.6851851851851852,0.765006385696041,0.5300127713920819,0.7424242424242424,0.8043478260869565,0.7903225806451613,0.7678571428571429,49,17,37,9
0.36,0.8275862068965517,0.6851851851851852,0.7563856960408685,0.5127713920817369,0.7384615384615385,0.7872340425531915,0.7804878048780488,0.7589285714285714,48,17,37,10
0.37,0.8103448275862069,0.7037037037037037,0.7570242656449553,0.5140485312899106,0.746031746031746,0.7755102040816326,0.7768595041322314,0.7589285714285714,47,16,38,11
0.38,0.8103448275862069,0.7222222222222222,0.7662835249042146,0.5325670498084292,0.7580645161290323,0.78,0.7833333333333333,0.7678571428571429,47,15,39,11
0.39,0.8103448275862069,0.7407407407407407,0.7755427841634738,0.5510855683269476,0.7704918032786885,0.7843137254901961,0.7899159663865546,0.7767857142857143,47,14,40,11
0.4,0.8103448275862069,0.7777777777777778,0.7940613026819923,0.5881226053639845,0.7966101694915254,0.7924528301886793,0.8034188034188035,0.7946428571428571,47,12,42,11
0.41,0.7931034482758621,0.7777777777777778,0.7854406130268199,0.5708812260536398,0.7931034482758621,0.7777777777777778,0.7931034482758621,0.7857142857142857,46,12,42,12
0.42,0.7931034482758621,0.7777777777777778,0.7854406130268199,0.5708812260536398,0.7931034482758621,0.7777777777777778,0.7931034482758621,0.7857142857142857,46,12,42,12
0.43,0.7758620689655172,0.7777777777777778,0.7768199233716475,0.553639846743295,0.7894736842105263,0.7636363636363637,0.782608695652174,0.7767857142857143,45,12,42,13
0.44,0.7758620689655172,0.7777777777777778,0.7768199233716475,0.553639846743295,0.7894736842105263,0.7636363636363637,0.782608695652174,0.7767857142857143,45,12,42,13
0.45,0.7758620689655172,0.8148148148148148,0.795338441890166,0.590676883780332,0.8181818181818182,0.7719298245614035,0.7964601769911505,0.7946428571428571,45,10,44,13
0.46,0.7758620689655172,0.8333333333333334,0.8045977011494253,0.6091954022988506,0.8333333333333334,0.7758620689655172,0.8035714285714286,0.8035714285714286,45,9,45,13
0.47,0.7758620689655172,0.8333333333333334,0.8045977011494253,0.6091954022988506,0.8333333333333334,0.7758620689655172,0.8035714285714286,0.8035714285714286,45,9,45,13
0.48,0.7586206896551724,0.8518518518518519,0.8052362707535121,0.6104725415070242,0.8461538461538461,0.7666666666666667,0.8,0.8035714285714286,44,8,46,14
0.49,0.7413793103448276,0.8703703703703703,0.805874840357599,0.6117496807151981,0.86,0.7580645161290323,0.7962962962962963,0.8035714285714286,43,7,47,15
0.5,0.7241379310344828,0.8703703703703703,0.7972541507024266,0.5945083014048531,0.8571428571428571,0.746031746031746,0.7850467289719626,0.7946428571428571,42,7,47,16
0.51,0.7068965517241379,0.8703703703703703,0.7886334610472541,0.5772669220945081,0.8541666666666666,0.734375,0.7735849056603774,0.7857142857142857,41,7,47,17
0.52,0.7068965517241379,0.8703703703703703,0.7886334610472541,0.5772669220945081,0.8541666666666666,0.734375,0.7735849056603774,0.7857142857142857,41,7,47,17
0.53,0.7068965517241379,0.8888888888888888,0.7978927203065134,0.5957854406130267,0.8723404255319149,0.7384615384615385,0.780952380952381,0.7946428571428571,41,6,48,17
0.54,0.7068965517241379,0.8888888888888888,0.7978927203065134,0.5957854406130267,0.8723404255319149,0.7384615384615385,0.780952380952381,0.7946428571428571,41,6,48,17
0.55,0.6896551724137931,0.9074074074074074,0.7985312899106003,0.5970625798212006,0.8888888888888888,0.7313432835820896,0.7766990291262136,0.7946428571428571,40,5,49,18
0.56,0.6896551724137931,0.9259259259259259,0.8077905491698596,0.6155810983397192,0.9090909090909091,0.7352941176470589,0.7843137254901961,0.8035714285714286,40,4,50,18
0.57,0.6896551724137931,0.9259259259259259,0.8077905491698596,0.6155810983397192,0.9090909090909091,0.7352941176470589,0.7843137254901961,0.8035714285714286,40,4,50,18
0.58,0.6724137931034483,0.9259259259259259,0.7991698595146871,0.5983397190293742,0.9069767441860465,0.7246376811594203,0.7722772277227723,0.7946428571428571,39,4,50,19
0.59,0.6551724137931034,0.9444444444444444,0.7998084291187739,0.5996168582375478,0.926829268292683,0.7183098591549296,0.7676767676767676,0.7946428571428571,38,3,51,20
0.6,0.6551724137931034,0.9444444444444444,0.7998084291187739,0.5996168582375478,0.926829268292683,0.7183098591549296,0.7676767676767676,0.7946428571428571,38,3,51,20
0.61,0.6551724137931034,0.9444444444444444,0.7998084291187739,0.5996168582375478,0.926829268292683,0.7183098591549296,0.7676767676767676,0.7946428571428571,38,3,51,20
0.62,0.6551724137931034,0.9444444444444444,0.7998084291187739,0.5996168582375478,0.926829268292683,0.7183098591549296,0.7676767676767676,0.7946428571428571,38,3,51,20
0.63,0.6551724137931034,0.9444444444444444,0.7998084291187739,0.5996168582375478,0.926829268292683,0.7183098591549296,0.7676767676767676,0.7946428571428571,38,3,51,20
0.64,0.6551724137931034,0.9629629629629629,0.8090676883780332,0.6181353767560664,0.95,0.7222222222222222,0.7755102040816326,0.8035714285714286,38,2,52,20
0.65,0.6551724137931034,0.9629629629629629,0.8090676883780332,0.6181353767560664,0.95,0.7222222222222222,0.7755102040816326,0.8035714285714286,38,2,52,20
0.66,0.6551724137931034,0.9629629629629629,0.8090676883780332,0.6181353767560664,0.95,0.7222222222222222,0.7755102040816326,0.8035714285714286,38,2,52,20
0.67,0.6379310344827587,0.9629629629629629,0.8004469987228608,0.6008939974457217,0.9487179487179487,0.7123287671232876,0.7628865979381443,0.7946428571428571,37,2,52,21
0.68,0.6379310344827587,0.9814814814814815,0.8097062579821201,0.6194125159642403,0.9736842105263158,0.7162162162162162,0.7708333333333334,0.8035714285714286,37,1,53,21
0.69,0.6206896551724138,0.9814814814814815,0.8010855683269477,0.6021711366538953,0.972972972972973,0.7066666666666667,0.7578947368421053,0.7946428571428571,36,1,53,22
0.7,0.6206896551724138,0.9814814814814815,0.8010855683269477,0.6021711366538953,0.972972972972973,0.7066666666666667,0.7578947368421053,0.7946428571428571,36,1,53,22
0.71,0.603448275862069,1.0,0.8017241379310345,0.603448275862069,1.0,0.7012987012987013,0.7526881720430108,0.7946428571428571,35,0,54,23
0.72,0.603448275862069,1.0,0.8017241379310345,0.603448275862069,1.0,0.7012987012987013,0.7526881720430108,0.7946428571428571,35,0,54,23
0.73,0.603448275862069,1.0,0.8017241379310345,0.603448275862069,1.0,0.7012987012987013,0.7526881720430108,0.7946428571428571,35,0,54,23
0.74,0.603448275862069,1.0,0.8017241379310345,0.603448275862069,1.0,0.7012987012987013,0.7526881720430108,0.7946428571428571,35,0,54,23
0.75,0.5517241379310345,1.0,0.7758620689655172,0.5517241379310345,1.0,0.675,0.7111111111111111,0.7678571428571429,32,0,54,26
0.76,0.5344827586206896,1.0,0.7672413793103448,0.5344827586206895,1.0,0.6666666666666666,0.6966292134831461,0.7589285714285714,31,0,54,27
0.77,0.5344827586206896,1.0,0.7672413793103448,0.5344827586206895,1.0,0.6666666666666666,0.6966292134831461,0.7589285714285714,31,0,54,27
0.78,0.5344827586206896,1.0,0.7672413793103448,0.5344827586206895,1.0,0.6666666666666666,0.6966292134831461,0.7589285714285714,31,0,54,27
0.79,0.5344827586206896,1.0,0.7672413793103448,0.5344827586206895,1.0,0.6666666666666666,0.6966292134831461,0.7589285714285714,31,0,54,27
0.8,0.5172413793103449,1.0,0.7586206896551724,0.5172413793103448,1.0,0.6585365853658537,0.6818181818181818,0.75,30,0,54,28
0.81,0.5,1.0,0.75,0.5,1.0,0.6506024096385542,0.6666666666666666,0.7410714285714286,29,0,54,29
0.82,0.4827586206896552,1.0,0.7413793103448276,0.48275862068965525,1.0,0.6428571428571429,0.6511627906976745,0.7321428571428571,28,0,54,30
0.83,0.4827586206896552,1.0,0.7413793103448276,0.48275862068965525,1.0,0.6428571428571429,0.6511627906976745,0.7321428571428571,28,0,54,30
